customerID,gender,SeniorCitizen,Partner,Dependents,tenure,PhoneService,MultipleLines,InternetService,OnlineSecurity,OnlineBackup,DeviceProtection,TechSupport,StreamingTV,StreamingMovies,Contract,PaperlessBilling,PaymentMethod,MonthlyCharges,TotalCharges,Churn
1680-VDCWW,Male,0,yes,no,12,yes,no,no,no internet service,no internet service,no internet service,no internet service,no internet service,no internet service,One year,no,Bank transfer (automatic),19.8,202.25,no
1066-JKSGK,Male,0,no,no,1,yes,no,no,no internet service,no internet service,no internet service,no internet service,no internet service,no internet service,Month-to-month,no,Mailed check,20.15,20.15,yes
3638-WEABW,Female,0,yes,no,58,yes,yes,DSL,no,yes,no,yes,no,no,Two year,yes,Credit card (automatic),59.9,3505.1,no
6322-HRPFA,Male,0,yes,yes,49,yes,no,DSL,yes,yes,no,yes,no,no,Month-to-month,no,Credit card (automatic),59.6,2970.3,no
6865-JZNKO,Female,0,no,no,30,yes,no,DSL,yes,yes,no,no,no,no,Month-to-month,yes,Bank transfer (automatic),55.3,1530.6,no
6467-CHFZW,Male,0,yes,yes,47,yes,yes,Fiber optic,no,yes,no,no,yes,yes,Month-to-month,yes,Electronic check,99.35,4749.15,yes
8665-UTDHZ,Male,0,yes,yes,1,no,no phone service,DSL,no,yes,no,no,no,no,Month-to-month,no,Electronic check,30.2,30.2,yes
5248-YGIJN,Male,0,yes,no,72,yes,yes,DSL,yes,yes,yes,yes,yes,yes,Two year,yes,Credit card (automatic),90.25,6369.45,no
8773-HHUOZ,Female,0,no,yes,17,yes,no,DSL,no,no,no,no,yes,yes,Month-to-month,yes,Mailed check,64.7,1093.1,yes
3841-NFECX,Female,1,yes,no,71,yes,yes,Fiber optic,yes,yes,yes,yes,no,no,Two year,yes,Credit card (automatic),96.35,6766.95,no
4929-XIHVW,Male,1,yes,no,2,yes,no,Fiber optic,no,no,yes,no,yes,yes,Month-to-month,yes,Credit card (automatic),95.5,181.65,no
6827-IEAUQ,Female,0,yes,yes,27,yes,no,DSL,yes,yes,yes,yes,no,no,One year,no,Mailed check,66.15,1874.45,no
7310-EGVHZ,Male,0,no,no,1,yes,no,no,no internet service,no internet service,no internet service,no internet service,no internet service,no internet service,Month-to-month,no,Bank transfer (automatic),20.2,20.2,no
3413-BMNZE,Male,1,no,no,1,yes,no,DSL,no,no,no,no,no,no,Month-to-month,no,Bank transfer (automatic),45.25,45.25,no
6234-RAAPL,Female,0,yes,yes,72,yes,yes,Fiber optic,yes,yes,no,yes,yes,no,Two year,no,Bank transfer (automatic),99.9,7251.7,no
6047-YHPVI,Male,0,no,no,5,yes,no,Fiber optic,no,no,no,no,no,no,Month-to-month,yes,Electronic check,69.7,316.9,yes
6572-ADKRS,Female,0,no,no,46,yes,no,Fiber optic,no,no,yes,no,no,no,Month-to-month,yes,Credit card (automatic),74.8,3548.3,no
5380-WJKOV,Male,0,no,no,34,yes,yes,Fiber optic,no,yes,yes,no,yes,yes,Month-to-month,yes,Electronic check,106.35,3549.25,yes
8168-UQWWF,Female,0,no,no,11,yes,yes,Fiber optic,no,no,yes,no,yes,yes,Month-to-month,yes,Bank transfer (automatic),97.85,1105.4,yes
8865-TNMNX,Male,0,yes,yes,10,yes,no,DSL,no,yes,no,no,no,no,One year,no,Mailed check,49.55,475.7,no
9489-DEDVP,Female,0,yes,yes,70,yes,yes,DSL,yes,yes,no,no,yes,no,Two year,yes,Credit card (automatic),69.2,4872.35,no
9867-JCZSP,Female,0,yes,yes,17,yes,no,no,no internet service,no internet service,no internet service,no internet service,no internet service,no internet service,One year,no,Mailed check,20.75,418.25,no
4671-VJLCL,Female,0,no,no,63,yes,yes,DSL,yes,yes,yes,yes,yes,no,Two year,yes,Credit card (automatic),79.85,4861.45,no
4080-IIARD,Female,0,yes,no,13,yes,yes,DSL,yes,yes,no,yes,yes,no,Month-to-month,yes,Electronic check,76.2,981.45,no
3714-NTNFO,Female,0,no,no,49,yes,yes,Fiber optic,no,no,no,no,no,yes,Month-to-month,yes,Electronic check,84.5,3906.7,no
5948-UJZLF,Male,0,no,no,2,yes,no,DSL,no,yes,no,no,no,no,Month-to-month,no,Mailed check,49.25,97,no
7760-OYPDY,Female,0,no,no,2,yes,no,Fiber optic,no,no,no,no,yes,no,Month-to-month,yes,Electronic check,80.65,144.15,yes
7639-LIAYI,Male,0,no,no,52,yes,yes,DSL,yes,no,no,yes,yes,yes,Two year,yes,Credit card (automatic),79.75,4217.8,no
2954-PIBKO,Female,0,yes,yes,69,yes,yes,DSL,yes,no,yes,yes,no,no,Two year,yes,Credit card (automatic),64.15,4254.1,no
8012-SOUDQ,Female,1,no,no,43,yes,yes,Fiber optic,no,yes,no,no,yes,no,Month-to-month,yes,Electronic check,90.25,3838.75,no
9420-LOJKX,Female,0,no,no,15,yes,no,Fiber optic,yes,yes,no,no,yes,yes,Month-to-month,yes,Credit card (automatic),99.1,1426.4,yes
6575-SUVOI,Female,1,yes,no,25,yes,yes,DSL,yes,no,no,yes,yes,no,Month-to-month,yes,Credit card (automatic),69.5,1752.65,no
7495-OOKFY,Female,1,yes,no,8,yes,yes,Fiber optic,no,yes,no,no,no,no,Month-to-month,yes,Credit card (automatic),80.65,633.3,yes
4667-QONEA,Female,1,yes,yes,60,yes,no,DSL,yes,yes,yes,yes,no,yes,One year,yes,Credit card (automatic),74.85,4456.35,no
1658-BYGOY,Male,1,no,no,18,yes,yes,Fiber optic,no,no,no,no,yes,yes,Month-to-month,yes,Electronic check,95.45,1752.55,yes
8769-KKTPH,Female,0,yes,yes,63,yes,yes,Fiber optic,yes,no,no,no,yes,yes,One year,yes,Credit card (automatic),99.65,6311.2,no
5067-XJQFU,Male,1,yes,yes,66,yes,yes,Fiber optic,no,yes,yes,yes,yes,yes,One year,yes,Electronic check,108.45,7076.35,no
3957-SQXML,Female,0,yes,yes,34,yes,yes,no,no internet service,no internet service,no internet service,no internet service,no internet service,no internet service,Two year,no,Credit card (automatic),24.95,894.3,no
5954-BDFSG,Female,0,no,no,72,yes,yes,Fiber optic,no,no,yes,yes,yes,yes,Two year,yes,Credit card (automatic),107.5,7853.7,no
0434-CSFON,Female,0,yes,no,47,yes,yes,Fiber optic,no,no,yes,no,yes,yes,Month-to-month,yes,Electronic check,100.5,4707.1,no
1215-FIGMP,Male,0,no,no,60,yes,yes,Fiber optic,no,yes,no,no,yes,no,Month-to-month,yes,Bank transfer (automatic),89.9,5450.7,no
0526-SXDJP,Male,0,yes,no,72,no,no phone service,DSL,yes,yes,yes,no,no,no,Two year,no,Bank transfer (automatic),42.1,2962,no
0557-ASKVU,Female,0,yes,yes,18,yes,no,DSL,no,no,yes,yes,no,no,One year,yes,Credit card (automatic),54.4,957.1,no
5698-BQJOH,Female,0,no,no,9,yes,yes,Fiber optic,no,no,no,no,yes,yes,Month-to-month,no,Electronic check,94.4,857.25,yes
5122-CYFXA,Female,0,no,no,3,yes,no,DSL,no,yes,no,yes,yes,yes,Month-to-month,yes,Electronic check,75.3,244.1,no
8627-ZYGSZ,Male,0,yes,no,47,yes,yes,Fiber optic,no,yes,no,no,no,no,One year,yes,Electronic check,78.9,3650.35,no
3410-YOQBQ,Female,0,no,no,31,yes,no,DSL,no,yes,yes,yes,yes,yes,Two year,no,Mailed check,79.2,2497.2,no
3170-NMYVV,Female,0,yes,yes,50,yes,no,no,no internet service,no internet service,no internet service,no internet service,no internet service,no internet service,Two year,no,Bank transfer (automatic),20.15,930.9,no
7410-OIEDU,Male,0,no,no,10,yes,no,Fiber optic,yes,no,yes,no,no,no,Month-to-month,yes,Mailed check,79.85,887.35,no
2273-QCKXA,Male,0,no,no,1,yes,no,DSL,no,no,no,yes,no,no,Month-to-month,no,Mailed check,49.05,49.05,no
0731-EBJQB,Female,0,yes,yes,52,yes,no,no,no internet service,no internet service,no internet service,no internet service,no internet service,no internet service,One year,yes,Electronic check,20.4,1090.65,no
1891-QRQSA,Male,1,yes,yes,64,yes,yes,Fiber optic,yes,no,yes,yes,yes,yes,Two year,yes,Bank transfer (automatic),111.6,7099,no
8028-PNXHQ,Male,0,yes,yes,62,yes,yes,no,no internet service,no internet service,no internet service,no internet service,no internet service,no internet service,Two year,yes,Bank transfer (automatic),24.25,1424.6,no
5630-AHZIL,Female,0,no,yes,3,yes,no,DSL,yes,no,no,yes,no,yes,Month-to-month,yes,Bank transfer (automatic),64.5,177.4,no
2673-CXQEU,Female,1,no,no,56,yes,yes,Fiber optic,yes,yes,yes,no,yes,yes,One year,no,Electronic check,110.5,6139.5,no
6416-JNVRK,Female,0,no,no,46,yes,no,DSL,no,no,no,no,no,yes,One year,no,Credit card (automatic),55.65,2688.85,no
5590-ZSKRV,Female,0,yes,yes,8,yes,no,DSL,yes,yes,no,no,no,no,Month-to-month,no,Mailed check,54.65,482.25,no
0191-ZHSKZ,Male,1,no,no,30,yes,no,DSL,yes,yes,no,no,yes,yes,Month-to-month,yes,Electronic check,74.75,2111.3,no
3887-PBQAO,Female,0,yes,yes,45,yes,yes,no,no internet service,no internet service,no internet service,no internet service,no internet service,no internet service,One year,yes,Credit card (automatic),25.9,1216.6,no
5919-TMRGD,Female,0,no,yes,1,yes,no,Fiber optic,no,no,no,no,yes,no,Month-to-month,yes,Electronic check,79.35,79.35,yes
8108-UXRQN,Female,0,yes,yes,11,no,no phone service,DSL,yes,no,no,no,yes,yes,Month-to-month,no,Electronic check,50.55,565.35,no
9191-MYQKX,Female,0,yes,no,7,yes,no,Fiber optic,no,no,yes,no,no,no,Month-to-month,yes,Bank transfer (automatic),75.15,496.9,yes
9919-YLNNG,Female,0,no,no,42,yes,no,Fiber optic,no,yes,yes,yes,yes,yes,Month-to-month,yes,Bank transfer (automatic),103.8,4327.5,no
0318-ZOPWS,Female,0,yes,no,49,yes,no,no,no internet service,no internet service,no internet service,no internet service,no internet service,no internet service,Two year,yes,Bank transfer (automatic),20.15,973.35,no
4445-ZJNMU,Male,0,no,no,9,yes,yes,Fiber optic,no,yes,no,no,yes,yes,Month-to-month,yes,Credit card (automatic),99.3,918.75,no
4808-YNLEU,Female,0,yes,no,35,yes,no,DSL,yes,no,no,no,yes,no,One year,yes,Bank transfer (automatic),62.15,2215.45,no
1862-QRWPE,Female,0,yes,yes,48,yes,no,no,no internet service,no internet service,no internet service,no internet service,no internet service,no internet service,Two year,no,Bank transfer (automatic),20.65,1057,no
2796-NNUFI,Female,0,yes,yes,46,yes,no,no,no internet service,no internet service,no internet service,no internet service,no internet service,no internet service,Two year,yes,Mailed check,19.95,927.1,no
3016-KSVCP,Male,0,yes,no,29,no,no phone service,DSL,no,no,no,no,yes,no,Month-to-month,no,Mailed check,33.75,1009.25,no
4767-HZZHQ,Male,0,yes,yes,30,yes,no,Fiber optic,no,yes,yes,no,no,no,Month-to-month,no,Bank transfer (automatic),82.05,2570.2,no
2424-WVHPL,Male,1,no,no,1,yes,no,Fiber optic,no,no,no,yes,no,no,Month-to-month,no,Electronic check,74.7,74.7,no
7233-PAHHL,Male,0,yes,yes,66,yes,yes,DSL,yes,no,yes,yes,yes,yes,Two year,yes,Mailed check,84,5714.25,no
6067-NGCEU,Female,0,no,no,65,yes,yes,Fiber optic,yes,yes,yes,no,yes,yes,Month-to-month,yes,Credit card (automatic),111.05,7107,no
9848-JQJTX,Male,0,no,no,72,yes,yes,Fiber optic,no,yes,yes,no,yes,yes,Two year,yes,Bank transfer (automatic),100.9,7459.05,no
8637-XJIVR,Female,0,no,no,12,yes,yes,Fiber optic,yes,no,no,no,no,no,Month-to-month,yes,Electronic check,78.95,927.35,yes
9803-FTJCG,Male,0,yes,yes,71,yes,yes,DSL,yes,yes,no,yes,no,no,One year,yes,Credit card (automatic),66.85,4748.7,no
0278-YXOOG,Male,0,no,no,5,yes,no,no,no internet service,no internet service,no internet service,no internet service,no internet service,no internet service,Month-to-month,no,Mailed check,21.05,113.85,yes
3212-KXOCR,Male,0,no,no,52,yes,no,no,no internet service,no internet service,no internet service,no internet service,no internet service,no internet service,Two year,no,Bank transfer (automatic),21,1107.2,no
4598-XLKNJ,Female,1,yes,no,25,yes,no,Fiber optic,no,yes,yes,no,yes,yes,Month-to-month,yes,Electronic check,98.5,2514.5,yes
6380-ARCEH,Male,0,no,no,1,yes,no,no,no internet service,no internet service,no internet service,no internet service,no internet service,no internet service,Month-to-month,no,Mailed check,20.2,20.2,no
3679-XASPY,Female,0,yes,yes,1,yes,no,no,no internet service,no internet service,no internet service,no internet service,no internet service,no internet service,Month-to-month,no,Electronic check,19.45,19.45,no
7123-WQUHX,Male,0,no,no,38,yes,yes,Fiber optic,no,no,yes,yes,yes,no,One year,no,Bank transfer (automatic),95,3605.6,no
5386-THSLQ,Female,1,yes,no,66,no,no phone service,DSL,no,yes,yes,no,yes,no,One year,no,Bank transfer (automatic),45.55,3027.25,no
3192-NQECA,Male,0,yes,no,68,yes,yes,Fiber optic,no,yes,yes,yes,yes,yes,Two year,yes,Bank transfer (automatic),110,7611.85,yes
6180-YBIQI,Male,0,no,no,5,no,no phone service,DSL,no,no,no,no,no,no,Month-to-month,no,Mailed check,24.3,100.2,no
6728-DKUCO,Female,0,yes,yes,72,yes,yes,Fiber optic,yes,yes,no,no,yes,yes,One year,yes,Electronic check,104.15,7303.05,no
9750-BOOHV,Female,0,no,no,32,no,no phone service,DSL,yes,no,no,no,no,no,One year,no,Mailed check,30.15,927.65,no
8597-CWYHH,Male,0,no,no,43,yes,yes,Fiber optic,no,no,no,no,yes,yes,One year,no,Mailed check,94.35,3921.3,no
2848-YXSMW,Male,0,yes,yes,72,yes,no,no,no internet service,no internet service,no internet service,no internet service,no internet service,no internet service,Two year,no,Credit card (automatic),19.4,1363.25,no
0486-HECZI,Male,0,yes,no,55,yes,yes,Fiber optic,yes,yes,no,no,yes,no,Month-to-month,yes,Electronic check,96.75,5238.9,yes
4549-ZDQYY,Female,0,no,no,52,yes,no,DSL,yes,no,yes,yes,no,no,One year,no,Credit card (automatic),57.95,3042.25,no
5712-AHQNN,Female,0,no,no,43,yes,no,Fiber optic,no,yes,yes,no,yes,no,Month-to-month,yes,Electronic check,91.65,3954.1,no
4846-WHAFZ,Female,1,yes,no,37,yes,yes,Fiber optic,no,no,no,no,no,no,Month-to-month,yes,Electronic check,76.5,2868.15,yes
5256-SKJGO,Female,0,yes,yes,64,no,no phone service,DSL,no,yes,no,yes,yes,yes,Two year,yes,Electronic check,54.6,3423.5,no
3071-VBYPO,Male,0,yes,yes,3,yes,no,Fiber optic,yes,yes,no,no,yes,no,Month-to-month,no,Electronic check,89.85,248.4,no
9560-BBZXK,Female,0,no,no,36,no,no phone service,DSL,yes,no,no,no,no,no,Two year,no,Bank transfer (automatic),31.05,1126.35,no
5299-RULOA,Female,0,yes,yes,10,yes,yes,Fiber optic,yes,no,no,no,yes,yes,Month-to-month,yes,Electronic check,100.25,1064.65,yes
8402-OOOHJ,Female,0,no,no,41,yes,no,no,no internet service,no internet service,no internet service,no internet service,no internet service,no internet service,Two year,no,Mailed check,20.65,835.15,no
9445-ZUEQE,Male,0,yes,yes,27,yes,yes,Fiber optic,no,yes,no,yes,no,no,Month-to-month,yes,Credit card (automatic),85.2,2151.6,no
1091-SOZGA,Female,0,yes,yes,56,yes,yes,Fiber optic,no,no,yes,no,yes,yes,One year,yes,Credit card (automatic),99.8,5515.45,no
2928-HLDBA,Female,0,no,no,6,yes,no,no,no internet service,no internet service,no internet service,no internet service,no internet service,no internet service,Month-to-month,no,Mailed check,20.7,112.75,no
0404-SWRVG,Male,0,no,no,3,yes,yes,Fiber optic,no,no,no,no,no,no,Month-to-month,yes,Electronic check,74.4,229.55,yes
6497-TILVL,Female,0,yes,yes,7,yes,no,DSL,yes,no,no,no,no,no,Month-to-month,no,Mailed check,50.7,350.35,no
7219-TLZHO,Female,0,yes,yes,4,yes,no,no,no internet service,no internet service,no internet service,no internet service,no internet service,no internet service,Month-to-month,no,Mailed check,20.85,62.9,no
4622-YNKIJ,Male,0,no,no,33,yes,no,Fiber optic,yes,no,no,yes,yes,no,Two year,yes,Electronic check,88.95,3027.65,no
4412-YLTKF,Female,1,no,no,27,yes,yes,Fiber optic,no,no,yes,no,no,no,Month-to-month,yes,Electronic check,78.05,2135.5,yes
6734-PSBAW,Male,0,yes,no,72,yes,yes,no,no internet service,no internet service,no internet service,no internet service,no internet service,no internet service,Two year,yes,Bank transfer (automatic),23.55,1723.95,no
3930-ZGWVE,Male,0,no,no,1,yes,no,no,no internet service,no internet service,no internet service,no internet service,no internet service,no internet service,Month-to-month,no,Mailed check,19.75,19.75,no
2639-UGMAZ,Male,1,no,no,71,no,no phone service,DSL,yes,yes,no,no,yes,yes,One year,yes,Electronic check,56.45,3985.35,no
2876-GZYZC,Female,0,no,no,13,yes,yes,Fiber optic,no,no,no,no,no,yes,Month-to-month,yes,Electronic check,85.95,1215.65,no
6207-WIOLX,Female,0,yes,yes,25,no,no phone service,DSL,yes,yes,yes,no,yes,yes,Month-to-month,yes,Credit card (automatic),58.6,1502.65,yes
8587-XYZSF,Male,0,no,no,67,yes,no,DSL,no,no,no,yes,no,no,Two year,no,Bank transfer (automatic),50.55,3260.1,no
3091-FYHKI,Male,0,no,no,1,no,no phone service,DSL,no,no,no,no,no,yes,Month-to-month,yes,Electronic check,35.45,35.45,yes
2372-HWUHI,Male,0,no,no,2,yes,no,DSL,no,no,no,no,no,no,Month-to-month,no,Electronic check,44.35,81.25,yes
7799-LGRDP,Female,0,no,no,43,yes,yes,no,no internet service,no internet service,no internet service,no internet service,no internet service,no internet service,Two year,yes,Credit card (automatic),25.7,1188.2,no
7850-VWJUU,Female,0,no,no,23,yes,no,Fiber optic,yes,no,no,no,no,no,Month-to-month,yes,Bank transfer (automatic),75,1778.5,no
3774-VBNXY,Female,0,yes,yes,64,yes,no,no,no internet service,no internet service,no internet service,no internet service,no internet service,no internet service,Two year,no,Mailed check,20.2,1277.75,no
6217-KDYWC,Male,0,no,yes,57,yes,no,no,no internet service,no internet service,no internet service,no internet service,no internet service,no internet service,Two year,yes,Mailed check,19.6,1170.55,no
0390-DCFDQ,Female,1,yes,no,1,yes,no,Fiber optic,no,no,no,no,no,no,Month-to-month,yes,Mailed check,70.45,70.45,yes
3146-MSEGF,Female,1,yes,yes,72,yes,yes,DSL,yes,yes,yes,yes,yes,yes,Two year,yes,Credit card (automatic),88.05,6425.65,no
4080-OGPJL,Female,0,no,no,8,yes,yes,DSL,yes,no,no,yes,no,yes,Month-to-month,no,Electronic check,71.15,563.65,yes
1095-WGNGG,Female,0,yes,no,61,yes,yes,Fiber optic,no,yes,no,no,yes,yes,Two year,yes,Bank transfer (automatic),101.05,5971.25,no
2636-SJDOU,Male,0,no,no,64,yes,yes,Fiber optic,yes,yes,no,no,no,no,One year,yes,Credit card (automatic),84.3,5289.05,no
1131-QQZEB,Male,1,yes,no,71,yes,yes,no,no internet service,no internet service,no internet service,no internet service,no internet service,no internet service,Two year,no,Bank transfer (automatic),23.95,1756.2,no
5716-EZXZN,Female,0,yes,yes,65,yes,yes,Fiber optic,yes,yes,no,yes,yes,no,Two year,yes,Credit card (automatic),99.05,6416.7,no
6837-BJYDQ,Male,0,no,no,3,yes,no,no,no internet service,no internet service,no internet service,no internet service,no internet service,no internet service,One year,no,Mailed check,19.6,61.35,no
2135-RXIHG,Male,0,no,no,1,yes,no,DSL,no,no,no,no,no,no,Month-to-month,yes,Electronic check,45.65,45.65,yes
6440-DKQGE,Male,0,no,yes,30,yes,no,DSL,no,yes,yes,no,yes,no,One year,no,Credit card (automatic),64.5,1929.95,no
3466-BYAVD,Male,0,yes,yes,15,yes,no,DSL,no,yes,yes,yes,no,yes,Month-to-month,yes,Mailed check,69.5,1071.4,no
3780-YVMFA,Female,0,yes,yes,8,yes,no,DSL,no,no,no,yes,yes,yes,Month-to-month,yes,Electronic check,68.55,564.35,no
3874-EQOEP,Male,0,no,no,7,yes,yes,Fiber optic,no,no,no,no,yes,yes,Month-to-month,no,Mailed check,95,655.5,yes
1679-JRFBR,Female,0,yes,yes,70,yes,yes,Fiber optic,yes,yes,yes,no,yes,yes,One year,yes,Credit card (automatic),108.15,7930.55,no
9073-ZZIAY,Male,0,yes,yes,62,yes,no,DSL,yes,yes,yes,yes,yes,yes,Two year,no,Electronic check,86.1,5215.25,no
3077-RSNTJ,Female,0,yes,yes,6,yes,no,no,no internet service,no internet service,no internet service,no internet service,no internet service,no internet service,Month-to-month,no,Mailed check,19.7,113.5,no
6551-GNYDG,Female,0,yes,yes,14,yes,no,Fiber optic,no,no,no,no,no,yes,Month-to-month,yes,Bank transfer (automatic),80.9,1152.8,no
9167-APMXZ,Female,0,no,no,22,yes,yes,Fiber optic,no,no,no,no,yes,no,Month-to-month,yes,Bank transfer (automatic),84.15,1821.95,no
2749-CTKAJ,Male,0,yes,yes,22,yes,no,no,no internet service,no internet service,no internet service,no internet service,no internet service,no internet service,One year,no,Mailed check,20.15,419.9,no
6371-NZYEG,Male,0,yes,yes,16,yes,no,DSL,yes,no,yes,no,yes,no,Two year,no,Mailed check,64.25,1024,no
7554-NEWDD,Male,0,no,no,10,yes,yes,no,no internet service,no internet service,no internet service,no internet service,no internet service,no internet service,Two year,no,Bank transfer (automatic),25.7,251.6,no
8992-VONJD,Female,0,no,yes,13,yes,no,DSL,yes,yes,no,no,no,no,Month-to-month,yes,Electronic check,56,764.55,no
0867-MKZVY,Female,0,yes,no,20,yes,yes,Fiber optic,yes,no,no,no,no,no,Month-to-month,no,Electronic check,82.4,1592.35,yes
4482-EWFMI,Female,0,no,no,2,yes,no,Fiber optic,no,no,no,no,no,no,Month-to-month,yes,Electronic check,69.7,135.2,no
4648-YPBTM,Male,0,no,no,53,yes,yes,DSL,no,yes,yes,yes,no,yes,Two year,yes,Bank transfer (automatic),73.9,3958.25,no
2907-ILJBN,Female,0,yes,yes,11,yes,no,no,no internet service,no internet service,no internet service,no internet service,no internet service,no internet service,One year,no,Mailed check,20.6,233.9,no
6345-FZOQH,Male,0,yes,no,69,yes,no,no,no internet service,no internet service,no internet service,no internet service,no internet service,no internet service,Two year,no,Mailed check,19.9,1363.45,no
3376-BMGFE,Female,0,no,no,4,yes,no,Fiber optic,no,no,no,no,no,no,Month-to-month,yes,Bank transfer (automatic),70.9,273,yes
5997-OPVFA,Male,0,yes,no,72,yes,yes,DSL,yes,yes,yes,yes,yes,yes,Two year,yes,Bank transfer (automatic),89.05,6254.45,no
3445-HXXGF,Male,1,yes,no,58,no,no phone service,DSL,no,yes,yes,no,no,yes,Month-to-month,yes,Electronic check,45.3,2651.2,yes
1159-WFSGR,Female,0,yes,yes,16,yes,no,no,no internet service,no internet service,no internet service,no internet service,no internet service,no internet service,Month-to-month,no,Electronic check,20.4,321.4,no
7654-YWJUF,Male,0,yes,no,43,yes,no,Fiber optic,yes,no,yes,yes,no,no,One year,yes,Bank transfer (automatic),84.25,3539.25,no
1875-QIVME,Female,0,yes,no,2,yes,yes,Fiber optic,no,no,yes,yes,yes,yes,Month-to-month,yes,Electronic check,104.4,242.8,yes
6727-IOTLZ,Male,0,yes,no,14,yes,no,DSL,no,yes,yes,yes,yes,yes,Two year,no,Mailed check,81.95,1181.75,no
0691-JVSYA,Female,0,yes,no,53,yes,no,Fiber optic,no,no,yes,no,yes,yes,One year,yes,Bank transfer (automatic),94.85,5000.2,yes
5918-VUKWP,Female,0,no,no,32,yes,no,no,no internet service,no internet service,no internet service,no internet service,no internet service,no internet service,One year,no,Bank transfer (automatic),20.55,654.55,no
1744-JHKYS,Female,0,yes,no,34,yes,yes,no,no internet service,no internet service,no internet service,no internet service,no internet service,no internet service,Month-to-month,no,Electronic check,24.7,780.2,no
2656-FMOKZ,Female,1,no,no,15,yes,yes,Fiber optic,no,no,no,no,no,no,Month-to-month,yes,Mailed check,74.45,1145.7,yes
2070-FNEXE,Female,1,no,no,7,yes,no,Fiber optic,yes,no,no,no,no,no,Month-to-month,no,Bank transfer (automatic),76.45,503.6,yes
5947-SGKCL,Female,0,yes,yes,15,yes,yes,Fiber optic,no,yes,yes,no,yes,yes,Month-to-month,yes,Bank transfer (automatic),105.35,1559.25,no
3712-PKXZA,Male,0,yes,no,61,yes,no,no,no internet service,no internet service,no internet service,no internet service,no internet service,no internet service,One year,yes,Credit card (automatic),20.55,1252,no
6317-YPKDH,Female,0,no,no,1,no,no phone service,DSL,no,yes,no,no,no,no,Month-to-month,no,Bank transfer (automatic),29.95,29.95,yes
